id,Food Name,State,Diet Type,Calories kcal,Protein g,Iron mg,Calcium mg,Folic Acid mcg,Vitamin C mg,Vitamin D IU,Omega 3 mg,Fiber g,Preparation Time min,Safety Notes,Cultural Significance,Link
16,Bajra Roti,Punjab,Vegetarian,120,3.5,2,20,30,0,0,0,3,20,Wash millet thoroughly,Traditional roti,
17,Moong Dal,Punjab,Vegetarian,130,7,4,50,70,5,0,0,5,30,Soak lentils thoroughly,Light meal,
18,Carrot Halwa,Punjab,Vegetarian,200,4,0.5,150,20,10,10,0,2,40,Use pasteurized milk,Sweet delicacy,
19,Pomegranate,Punjab,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
20,Tandoori Roti,Punjab,Vegetarian,140,4,1.5,15,40,0,0,0,2,15,Use clean flour,Bread staple,
21,Kheer,Punjab,Vegetarian,180,4,0.3,130,15,2,10,0,0,30,Use pasteurized milk,Traditional dessert,
22,Idli,Tamil Nadu,Vegetarian,58,2,0.7,10,20,0,0,0,1.5,20,Ferment batter properly,Breakfast staple,
23,Sambar,Tamil Nadu,Vegetarian,90,3.5,1.5,40,60,15,0,0,2.5,30,Wash vegetables thoroughly,Common side dish,
24,Rasam,Tamil Nadu,Vegetarian,30,1,0.5,15,30,10,0,0,1,20,Use fresh ingredients,Digestive aid,
25,Curd Rice,Tamil Nadu,Vegetarian,150,4,0.3,120,15,2,10,0,1,15,Use pasteurized curd,Comfort food,
26,Vegetable Upma,Tamil Nadu,Vegetarian,180,4.5,1.8,25,40,20,0,0,2.5,25,Wash vegetables thoroughly,Breakfast dish,
27,Banana,Tamil Nadu,Vegetarian,90,1.1,0.3,5,25,10,0,0,3.5,0,Wash before peeling,Common fruit,
28,Pongal,Tamil Nadu,Vegetarian,200,5,1.2,30,50,5,0,0,2,30,Use clean rice,Festive dish,
29,Coconut Chutney,Tamil Nadu,Vegetarian,150,2,0.5,15,10,5,0,0,1.5,10,Use fresh coconut,Side dish,
30,Fish Curry,Tamil Nadu,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal delicacy,
31,Ragi Porridge,Tamil Nadu,Vegetarian,80,2.5,3.5,350,40,0,0,0,3,15,Use clean ragi,Traditional health food,
32,Dosa,Tamil Nadu,Vegetarian,133,3.5,0.8,15,30,0,0,0,1.5,20,Ferment batter properly,Breakfast staple,
33,Avial,Tamil Nadu,Vegetarian,100,2,1,50,40,20,0,0,3,25,Wash vegetables thoroughly,Mixed vegetable dish,
34,Keerai Kootu,Tamil Nadu,Vegetarian,70,2.5,2,200,80,30,0,0,3.5,30,Wash greens thoroughly,Healthy side dish,
35,Papaya,Tamil Nadu,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
36,Chicken Chettinad,Tamil Nadu,Non-Vegetarian,230,16,1.5,40,10,10,0,50,0.5,40,Ensure fully cooked,Spicy delicacy,
37,Paruppu Payasam,Tamil Nadu,Vegetarian,180,4.5,1,100,20,2,10,0,2,30,Use pasteurized milk,Festive sweet,
38,Drumstick Curry,Tamil Nadu,Vegetarian,80,2,1.2,150,50,40,0,0,3,30,Wash thoroughly,Nutritious side dish,
39,Mutton Kulambu,Tamil Nadu,Non-Vegetarian,200,14,1.8,50,10,5,0,100,0.5,45,Ensure fully cooked,Traditional dish,
40,Pesarattu,Tamil Nadu,Vegetarian,160,6,2.5,40,60,10,0,0,3.5,20,Ferment batter properly,Protein-rich dosa,
41,Jackfruit,Tamil Nadu,Vegetarian,95,1.7,0.2,24,25,14,0,0,3.5,0,Wash thoroughly,Seasonal fruit,
42,Vada,Tamil Nadu,Vegetarian,200,5,1.5,20,50,5,0,0,2,20,Use fresh oil,Breakfast snack,
43,Kolkata Biryani,West Bengal,Non-Vegetarian,220,10,1.5,30,20,5,0,100,2,60,Ensure meat is cooked,Iconic dish,
44,Macher Jhol,West Bengal,Non-Vegetarian,150,14,1.2,50,15,10,20,300,0.5,25,Use low-mercury fish,Staple dish,
45,Shukto,West Bengal,Vegetarian,70,2,1,40,50,15,0,0,2.5,30,Wash vegetables thoroughly,Traditional starter,
46,Cholar Dal,West Bengal,Vegetarian,160,7,2.8,50,70,5,0,0,4,35,Soak lentils thoroughly,Festive dish,
47,Panta Bhat,West Bengal,Vegetarian,100,2.5,0.5,10,20,0,0,0,1.5,10,Ferment safely,Traditional breakfast,
48,Mishti Doi,West Bengal,Vegetarian,150,4,0.2,130,10,2,15,0,0,15,Use pasteurized milk,Sweet delicacy,
49,Luchi,West Bengal,Vegetarian,200,3,1,15,30,0,0,0,1,20,Use fresh oil,Breakfast item,
50,Aloo Posto,West Bengal,Vegetarian,120,2.5,1.5,25,40,10,0,0,2,25,Wash potatoes thoroughly,Traditional dish,
51,Prawn Malai Curry,West Bengal,Non-Vegetarian,180,12,0.8,60,10,5,10,200,0.5,30,Ensure fully cooked,Delicacy,
52,Sandesh,West Bengal,Vegetarian,200,5,0.3,150,15,2,15,0,0,20,Use pasteurized milk,Festive sweet,
53,Bhapa Ilish,West Bengal,Non-Vegetarian,190,16,1,50,10,5,20,300,0.5,30,Use low-mercury fish,Traditional fish dish,
54,Begun Bhaja,West Bengal,Vegetarian,120,1.5,0.8,20,30,10,0,0,2,15,Wash eggplant thoroughly,Popular side dish,
55,Chingri Mach Curry,West Bengal,Non-Vegetarian,170,13,0.9,55,10,5,10,200,0.5,30,Ensure fully cooked,Seafood delicacy,
56,Moong Dal Khichdi,West Bengal,Vegetarian,150,6,2,30,50,5,0,0,3,30,Soak lentils thoroughly,Light meal,
57,Pui Shaak,West Bengal,Vegetarian,50,2,2.5,150,80,30,0,0,3.5,25,Wash greens thoroughly,Nutritious green,
58,Pomfret Fry,West Bengal,Non-Vegetarian,200,18,1,50,10,5,20,250,0.5,25,Use low-mercury fish,Coastal dish,
59,Rosogolla,West Bengal,Vegetarian,180,4,0.2,120,10,2,10,0,0,30,Use pasteurized milk,Iconic sweet,
60,Mango,West Bengal,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
61,Aloo Dum,West Bengal,Vegetarian,130,2.5,1.2,25,40,15,0,0,2.5,30,Wash potatoes thoroughly,Popular side dish,
62,Chholar Dal Kachori,West Bengal,Vegetarian,200,5,1.5,20,50,5,0,0,2,25,Use fresh oil,Festive snack,
63,Labra,West Bengal,Vegetarian,100,2,1,40,50,20,0,0,3,30,Wash vegetables thoroughly,Mixed vegetable dish,
64,Rajma Masala,Jammu and Kashmir,Vegetarian,130,7.5,5,60,90,5,0,0,5.5,50,Soak beans overnight,Staple dish,
65,Rogan Josh,Jammu and Kashmir,Non-Vegetarian,250,15,2,50,10,10,0,100,0.5,45,Ensure fully cooked,Iconic mutton dish,
66,Dum Aloo,Jammu and Kashmir,Vegetarian,140,2.5,1.2,25,40,15,0,0,2.5,30,Wash potatoes thoroughly,Traditional dish,
67,Kahwa,Jammu and Kashmir,Vegetarian,30,0.5,0.1,10,5,0,0,0,0,10,Use clean water,Traditional tea,
68,Gushtaba,Jammu and Kashmir,Non-Vegetarian,220,14,1.8,50,10,5,0,100,0.5,50,Ensure fully cooked,Festive meat dish,
69,Saag,Jammu and Kashmir,Vegetarian,50,2,2.5,200,80,30,0,0,3.5,30,Wash greens thoroughly,Nutritious side dish,
70,Paneer Masala,Jammu and Kashmir,Vegetarian,200,12,0.5,400,20,10,10,0,1,30,Ensure fully cooked,Popular protein dish,
71,Phirni,Jammu and Kashmir,Vegetarian,180,4,0.3,130,15,2,10,0,0,30,Use pasteurized milk,Traditional dessert,
72,Apple,Jammu and Kashmir,Vegetarian,52,0.3,0.1,6,14,5,0,0,2,0,Wash thoroughly,Local fruit,
73,Yakhni,Jammu and Kashmir,Non-Vegetarian,200,13,1.5,40,10,5,0,100,0.5,40,Ensure fully cooked,Traditional yogurt-based dish,
74,Nadru Monje,Jammu and Kashmir,Vegetarian,150,2,1,30,20,10,0,0,2,20,Wash lotus stem thoroughly,Local snack,
75,Kesari Bhat,Jammu and Kashmir,Vegetarian,180,3,0.8,20,30,0,0,0,1.5,25,Use clean rice,Festive dish,
76,Chaman Thi Methi,Jammu and Kashmir,Vegetarian,180,10,2,400,50,20,10,0,2.5,30,Wash fenugreek thoroughly,Protein-rich dish,
77,Pomegranate,Jammu and Kashmir,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
78,Shufta,Jammu and Kashmir,Vegetarian,250,5,1,50,20,5,0,0,2,20,Use clean dry fruits,Festive sweet,
79,Chicken Kebab,Jammu and Kashmir,Non-Vegetarian,200,16,1.2,40,10,5,0,50,0.5,25,Ensure fully cooked,Popular snack,
80,Kaleji Masala,Jammu and Kashmir,Non-Vegetarian,180,15,5,50,20,10,0,50,0.5,30,Ensure fully cooked,Iron-rich dish,
81,Walnut,Jammu and Kashmir,Vegetarian,654,15,2.9,98,20,1,0,100,2.5,0,Use fresh nuts,Local superfood,
82,Methi Paratha,Jammu and Kashmir,Vegetarian,200,5,1.8,30,50,15,0,0,3,25,Wash fenugreek thoroughly,Breakfast item,
83,Saffron Milk,Jammu and Kashmir,Vegetarian,150,4,0.2,130,10,2,15,0,0,15,Use pasteurized milk,Nutritious drink,
84,Apricot,Jammu and Kashmir,Vegetarian,48,1.4,0.4,13,20,10,0,0,2.5,0,Wash thoroughly,Local fruit,
85,Appam,Kerala,Vegetarian,120,3,0.8,15,30,0,0,0,1.5,20,Ferment batter properly,Breakfast staple,
86,Fish Moilee,Kerala,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal delicacy,
87,Puttu,Kerala,Vegetarian,150,3.5,1,20,40,0,0,0,2,20,Use clean rice,Traditional breakfast,
88,Vegetable Stew,Kerala,Vegetarian,100,2,1,50,40,20,0,0,3,25,Wash vegetables thoroughly,Coconut-based dish,
89,Banana,Kerala,Vegetarian,90,1.1,0.3,5,25,10,0,0,3.5,0,Wash before peeling,Common fruit,
90,Erissery,Kerala,Vegetarian,120,3.5,1.5,40,50,15,0,0,3,30,Wash pumpkin thoroughly,Festive dish,
91,Kappa,Kerala,Vegetarian,112,1.5,0.5,20,20,5,0,0,2.5,20,Wash tapioca thoroughly,Staple root,
92,Prawn Curry,Kerala,Non-Vegetarian,170,13,0.8,60,10,5,10,200,0.5,30,Ensure fully cooked,Seafood delicacy,
93,Palada Payasam,Kerala,Vegetarian,180,4,0.3,120,15,2,10,0,0,30,Use pasteurized milk,Festive sweet,
94,Jackfruit,Kerala,Vegetarian,95,1.7,0.2,24,25,14,0,0,3.5,0,Wash thoroughly,Seasonal fruit,
95,Avial,Kerala,Vegetarian,100,2,1,50,40,20,0,0,3,25,Wash vegetables thoroughly,Mixed vegetable dish,
96,Chicken Curry,Kerala,Non-Vegetarian,220,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Popular protein dish,
97,Parippu Curry,Kerala,Vegetarian,130,6,2.5,40,60,5,0,0,4,30,Soak lentils thoroughly,Light dal dish,
98,Papaya,Kerala,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
99,Olan,Kerala,Vegetarian,80,2,1,40,50,15,0,0,2.5,25,Wash vegetables thoroughly,Traditional dish,
100,Mutton Biryani,Kerala,Non-Vegetarian,250,12,1.5,30,20,5,0,100,2,60,Ensure meat is cooked,Festive dish,
101,Coconut Rice,Kerala,Vegetarian,180,3.5,0.8,20,30,5,0,0,1.5,25,Use fresh coconut,Simple meal,
102,Drumstick Curry,Kerala,Vegetarian,80,2,1.2,150,50,40,0,0,3,30,Wash thoroughly,Nutritious side dish,
103,Sardine Fry,Kerala,Non-Vegetarian,200,18,1,50,10,5,20,300,0.5,25,Use low-mercury fish,Coastal dish,
104,Ada Pradhaman,Kerala,Vegetarian,200,4,0.5,100,20,2,10,0,2,30,Use pasteurized milk,Festive sweet,
105,Pineapple,Kerala,Vegetarian,50,0.5,0.3,13,16,48,0,0,1.5,0,Wash thoroughly,Tropical fruit,
106,Dhokla,Gujarat,Vegetarian,150,5,1.5,20,50,5,0,0,2,20,Ferment batter properly,Popular snack,
107,Thepla,Gujarat,Vegetarian,160,4,1.8,25,40,15,0,0,2.5,20,Wash fenugreek thoroughly,Breakfast item,
108,Undhiyu,Gujarat,Vegetarian,180,4.5,1.5,40,50,20,0,0,3,40,Wash vegetables thoroughly,Festive dish,
109,Khichdi,Gujarat,Vegetarian,150,5,2,30,50,5,0,0,3,30,Soak lentils thoroughly,Light meal,
110,Shrikhand,Gujarat,Vegetarian,200,6,0.2,150,15,2,15,0,0,15,Use pasteurized curd,Sweet delicacy,
111,Chickpea Curry,Gujarat,Vegetarian,164,7,5.2,105,80,6,0,0,6,40,Soak chickpeas overnight,Staple dish,
112,Methi Thepla,Gujarat,Vegetarian,160,4,1.8,25,50,15,0,0,2.5,20,Wash fenugreek thoroughly,Breakfast item,
113,Papdi no Lot,Gujarat,Vegetarian,140,5,1.5,20,40,5,0,0,2,20,Use clean flour,Traditional snack,
114,Chikoo,Gujarat,Vegetarian,83,0.4,0.8,21,12,15,0,0,2,0,Wash thoroughly,Local fruit,
115,Dal Dhokli,Gujarat,Vegetarian,160,6,2,30,50,10,0,0,3,30,Soak lentils thoroughly,Hearty meal,
116,Khandvi,Gujarat,Vegetarian,140,4,1,20,40,5,0,0,2,20,Ensure fully cooked,Popular snack,
117,Pomegranate,Gujarat,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
118,Fafda,Gujarat,Vegetarian,200,5,1.5,20,40,5,0,0,2,20,Use fresh oil,Popular snack,
119,Surti Locho,Gujarat,Vegetarian,150,4,1,20,40,5,0,0,2,20,Ferment batter properly,Street food,
120,Mango,Gujarat,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
121,Bhakri,Gujarat,Vegetarian,140,4,2,20,30,0,0,0,3,20,Wash millet thoroughly,Traditional roti,
122,Kadhi,Gujarat,Vegetarian,100,3,0.5,100,20,5,10,0,1.5,20,Use pasteurized curd,Light dish,
123,Sprouted Moong Salad,Gujarat,Vegetarian,125,8,2.5,45,70,30,0,0,6,15,Cook sprouts fully,Nutritious snack,
124,Jowar Roti,Gujarat,Vegetarian,120,3.5,2,20,30,0,0,0,3,20,Wash millet thoroughly,Traditional roti,
125,Patra,Gujarat,Vegetarian,150,3,1.5,50,40,20,0,0,3,25,Wash colocasia leaves thoroughly,Traditional snack,
126,Sev Usal,Gujarat,Vegetarian,180,6,2,30,50,10,0,0,3,30,Wash ingredients thoroughly,Popular snack,
127,Pav Bhaji,Delhi,Vegetarian,200,5,1.8,30,50,20,0,0,3,30,Wash vegetables thoroughly,Popular street food,
128,Chole Bhature,Delhi,Vegetarian,300,8,2.5,50,80,10,0,0,4,40,Soak chickpeas overnight,Iconic dish,
129,Butter Chicken,Delhi,Non-Vegetarian,250,15,1.5,50,10,10,0,50,0.5,40,Ensure fully cooked,Popular delicacy,
130,Aloo Tikki,Delhi,Vegetarian,150,3,1.2,25,40,15,0,0,2.5,20,Wash potatoes thoroughly,Street food,
131,Dahi Bhalla,Delhi,Vegetarian,180,5,0.5,120,20,5,10,0,2,20,Use pasteurized curd,Popular snack,
132,Paneer Bhurji,Delhi,Vegetarian,200,12,0.5,400,20,10,10,0,1,20,Ensure fully cooked,Protein-rich dish,
133,Rajma,Delhi,Vegetarian,130,7.5,5,60,90,5,0,0,5.5,50,Soak beans overnight,Hearty meal,
134,Mango,Delhi,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
135,Palak Paneer,Delhi,Vegetarian,180,10,2.5,400,80,30,10,0,3,30,Wash spinach thoroughly,Popular dish,
136,Chicken Biryani,Delhi,Non-Vegetarian,220,12,1.5,30,20,5,0,100,2,60,Ensure meat is cooked,Festive dish,
137,Pomegranate,Delhi,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
138,Moong Dal,Delhi,Vegetarian,130,7,4,50,70,5,0,0,5,30,Soak lentils thoroughly,Light meal,
139,Paratha,Delhi,Vegetarian,200,5,1.5,20,40,0,0,0,2,20,Use clean flour,Breakfast staple,
140,Samosa,Delhi,Vegetarian,200,4,1,20,30,5,0,0,2,20,Use fresh oil,Popular snack,
141,Lassi,Delhi,Vegetarian,120,3.5,0.1,130,10,2,15,0,0,10,Use pasteurized curd,Hydrating drink,
142,Fish Fry,Delhi,Non-Vegetarian,200,18,1,50,10,5,20,250,0.5,25,Use low-mercury fish,Popular dish,
143,Gobi Manchurian,Delhi,Vegetarian,150,3,1.2,30,40,20,0,0,2.5,25,Wash cauliflower thoroughly,Indo-Chinese dish,
144,Papaya,Delhi,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
145,Dal Tadka,Delhi,Vegetarian,140,6,2.5,40,60,5,0,0,4,30,Soak lentils thoroughly,Staple dish,
146,Kheer,Delhi,Vegetarian,180,4,0.3,130,15,2,10,0,0,30,Use pasteurized milk,Traditional dessert,
147,Matar Paneer,Delhi,Vegetarian,180,10,1.5,400,50,20,10,0,3,30,Wash peas thoroughly,Popular dish,
148,Pesarattu,Andhra Pradesh,Vegetarian,160,6,2.5,40,60,10,0,0,3.5,20,Ferment batter properly,Protein-rich dosa,
149,Gongura Pachadi,Andhra Pradesh,Vegetarian,80,2,1.5,50,80,30,0,0,3,15,Wash greens thoroughly,Traditional chutney,
150,Chicken Biryani,Andhra Pradesh,Non-Vegetarian,220,12,1.5,30,20,5,0,100,2,60,Ensure meat is cooked,Spicy festive dish,
151,Sapota,Andhra Pradesh,Vegetarian,83,0.4,0.8,21,12,15,0,0,2,0,Wash thoroughly,Local fruit,
152,Dalcha,Andhra Pradesh,Vegetarian,140,6,2.5,40,60,10,0,0,4,30,Soak lentils thoroughly,Hyderabadi dish,
153,Prawn Fry,Andhra Pradesh,Non-Vegetarian,170,13,0.8,60,10,5,10,200,0.5,25,Ensure fully cooked,Coastal delicacy,
154,Upma,Andhra Pradesh,Vegetarian,180,4.5,1.8,25,40,20,0,0,2.5,25,Wash vegetables thoroughly,Breakfast staple,
155,Papaya,Andhra Pradesh,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
156,Mutton Curry,Andhra Pradesh,Non-Vegetarian,200,14,1.8,50,10,5,0,100,0.5,45,Ensure fully cooked,Spicy delicacy,
157,Ariselu,Andhra Pradesh,Vegetarian,250,4,1,20,30,0,0,0,1.5,30,Use fresh oil,Festive sweet,
158,Pulihora,Andhra Pradesh,Vegetarian,180,3.5,0.8,20,30,10,0,0,2,25,Use clean rice,Tangy rice dish,
159,Drumstick Sambar,Andhra Pradesh,Vegetarian,90,3.5,1.5,150,60,40,0,0,3,30,Wash vegetables thoroughly,Nutritious side dish,
160,Fish Pulusu,Andhra Pradesh,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Tangy fish curry,
161,Banana,Andhra Pradesh,Vegetarian,90,1.1,0.3,5,25,10,0,0,3.5,0,Wash before peeling,Common fruit,
162,Bendakaya Pulusu,Andhra Pradesh,Vegetarian,80,2,1.2,40,50,20,0,0,3,25,Wash okra thoroughly,Vegetable curry,
163,Pootharekulu,Andhra Pradesh,Vegetarian,200,3,0.5,20,20,0,0,0,1,30,Use clean ingredients,Traditional sweet,
164,Mango,Andhra Pradesh,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
165,Ragi Sankati,Andhra Pradesh,Vegetarian,80,2.5,3.5,350,40,0,0,0,3,15,Use clean ragi,Traditional health food,
166,Chicken 65,Andhra Pradesh,Non-Vegetarian,230,15,1.2,40,10,10,0,50,0.5,25,Ensure fully cooked,Popular snack,
167,Dosa,Andhra Pradesh,Vegetarian,133,3.5,0.8,15,30,0,0,0,1.5,20,Ferment batter properly,Breakfast staple,
168,Masor Tenga,Assam,Non-Vegetarian,150,14,1.2,50,15,10,20,300,0.5,25,Use low-mercury fish,Tangy fish curry,
169,Bamboo Shoot Curry,Assam,Vegetarian,80,2,1,40,50,20,0,0,3,25,Wash bamboo shoots thoroughly,Traditional dish,
170,Joha Rice,Assam,Vegetarian,130,2.5,0.8,15,30,0,0,0,1.5,20,Use clean rice,Local staple,
171,Pitha,Assam,Vegetarian,180,3,0.5,20,30,0,0,0,1,30,Use clean ingredients,Festive sweet,
172,Chicken with Black Pepper,Assam,Non-Vegetarian,200,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Flavorful dish,
173,Dhekiya Xaak,Assam,Vegetarian,50,2,2.5,150,80,30,0,0,3.5,25,Wash greens thoroughly,Nutritious green,
174,Pork Curry,Assam,Non-Vegetarian,220,14,1.8,50,10,5,0,100,0.5,45,Ensure fully cooked,Traditional dish,
175,Narasingh Masala Fish,Assam,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Spicy delicacy,
176,Mango,Assam,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
177,Khar,Assam,Vegetarian,70,2,1,40,50,15,0,0,2.5,25,Wash vegetables thoroughly,Alkaline dish,
178,Pomegranate,Assam,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
179,Til Pitha,Assam,Vegetarian,200,4,1.5,30,40,0,0,0,2,30,Use clean sesame seeds,Festive snack,
180,Duck Curry,Assam,Non-Vegetarian,230,14,1.8,50,10,5,0,100,0.5,45,Ensure fully cooked,Traditional dish,
181,Banana,Assam,Vegetarian,90,1.1,0.3,5,25,10,0,0,3.5,0,Wash before peeling,Common fruit,
182,Moong Dal,Assam,Vegetarian,130,7,4,50,70,5,0,0,5,30,Soak lentils thoroughly,Light meal,
183,Ou Tenga,Assam,Vegetarian,60,1.5,0.8,20,40,20,0,0,2,25,Wash elephant apple thoroughly,Tangy dish,
184,Fish Fry,Assam,Non-Vegetarian,200,18,1,50,10,5,20,250,0.5,25,Use low-mercury fish,Popular dish,
185,Papaya,Assam,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
186,Lau Xaak,Assam,Vegetarian,50,2,1.5,100,50,20,0,0,3,25,Wash greens thoroughly,Nutritious green,
187,Koldil Chicken,Assam,Non-Vegetarian,200,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Traditional dish,
188,Poha,Maharashtra,Vegetarian,180,4,1.8,20,40,10,0,0,2.5,20,Wash flattened rice thoroughly,Breakfast staple,
189,Misal Pav,Maharashtra,Vegetarian,200,6,2.5,40,60,15,0,0,3.5,30,Wash sprouts thoroughly,Spicy street food,
190,Vada Pav,Maharashtra,Vegetarian,250,5,1.5,20,40,10,0,0,2,20,Use fresh oil,Iconic street food,
191,Puran Poli,Maharashtra,Vegetarian,200,5,1,30,50,0,0,0,2,30,Use clean ingredients,Festive sweet,
192,Chicken Kolhapuri,Maharashtra,Non-Vegetarian,230,15,1.5,40,10,10,0,50,0.5,40,Ensure fully cooked,Spicy delicacy,
193,Modak,Maharashtra,Vegetarian,180,3,0.5,20,30,0,0,0,1.5,30,Use clean ingredients,Festive sweet,
194,Mango,Maharashtra,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
195,Bhakri,Maharashtra,Vegetarian,140,4,2,20,30,0,0,0,3,20,Wash millet thoroughly,Traditional roti,
196,Pav Bhaji,Maharashtra,Vegetarian,200,5,1.8,30,50,20,0,0,3,30,Wash vegetables thoroughly,Popular street food,
197,Fish Curry,Maharashtra,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal delicacy,
198,Sprouted Moong Salad,Maharashtra,Vegetarian,125,8,2.5,45,70,30,0,0,6,15,Cook sprouts fully,Nutritious snack,
199,Papaya,Maharashtra,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
200,Usal,Maharashtra,Vegetarian,150,6,2.5,40,60,10,0,0,3.5,30,Soak pulses thoroughly,Traditional dish,
201,Chicken Sukka,Maharashtra,Non-Vegetarian,200,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Coastal delicacy,
202,Shrikhand,Maharashtra,Vegetarian,200,6,0.2,150,15,2,15,0,0,15,Use pasteurized curd,Sweet delicacy,
203,Pomegranate,Maharashtra,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
204,Sabudana Khichdi,Maharashtra,Vegetarian,200,3,1,20,30,0,0,0,2,20,Soak sabudana thoroughly,Fasting food,
205,Mutton Biryani,Maharashtra,Non-Vegetarian,250,12,1.5,30,20,5,0,100,2,60,Ensure meat is cooked,Festive dish,
206,Kothimbir Vadi,Maharashtra,Vegetarian,150,4,1.5,20,40,15,0,0,2,20,Wash coriander thoroughly,Popular snack,
207,Banana,Maharashtra,Vegetarian,90,1.1,0.3,5,25,10,0,0,3.5,0,Wash before peeling,Common fruit,
208,Ukadiche Modak,Maharashtra,Vegetarian,180,4,0.3,130,15,2,10,0,0,15,Use pasteurized milk,Festive sweet,
209,Vegetable Dishes,Maharashtra,Vegetarian,90,2.5,1.2,40,60,20,0,0,3,20,Wash vegetables thoroughly,Common side dish,
